,spread_3m10y,spread_2y10y,cpi_yoy,core_cpi_yoy,pce,unemployment,gdp_yoy,breakeven_5y,recession_prob,y_3m,y_5y,y_10y,y_30y,unemp_delta,spread_3m10y_lag1,spread_3m10y_lag3,spread_2y10y_lag1,spread_2y10y_lag3,cpi_yoy_lag1,cpi_yoy_lag3,core_cpi_yoy_lag1,core_cpi_yoy_lag3,breakeven_5y_lag1,breakeven_5y_lag3,gdp_yoy_lag1,gdp_yoy_lag3,breakeven_gap,inversion_flag,inversion_duration,regime
1995-07-01,0.85,0.57,2.8301886792452713,2.999361837906833,1.9870338893819506,5.7,3.5,,0.38,,,,,-0.09999999999999964,0.61,1.2,0.42,0.47,3.0425963488843744,3.125000000000022,3.0051150895140655,3.1511254019292556,,,,1.2,,0,0,Reflation
1995-08-01,0.83,0.43,2.6174496644295386,2.991725015913449,1.9719662634690938,5.7,,,0.3,,,,,0.10000000000000053,0.85,0.49,0.57,0.41,2.8301886792452713,3.1186440677966054,2.999361837906833,3.078896728672209,,,3.5,,,0,0,Stagflation
1995-09-01,0.77,0.34,2.54521098459477,2.984126984126978,1.929303831624396,5.6,,,0.32,,,,,0.0,0.83,0.61,0.43,0.42,2.6174496644295386,3.0425963488843744,2.991725015913449,3.0051150895140655,,,,,,0,0,Stagflation
1995-10-01,0.55,0.42,2.7443105756358666,3.1051964512040398,2.0203229523652944,5.5,2.7,,0.48,,,,,-0.20000000000000018,0.77,0.85,0.34,0.57,2.54521098459477,2.8301886792452713,2.984126984126978,2.999361837906833,,,,3.5,,0,0,Reflation
1995-11-01,0.28,0.4,2.603471295060067,3.034134007585343,1.8238035490231175,5.6,,,0.34,,,,,-0.10000000000000053,0.55,0.83,0.42,0.43,2.7443105756358666,2.6174496644295386,3.1051964512040398,2.991725015913449,,,2.7,,,0,0,Stagflation
1995-12-01,0.48,0.4,2.5316455696202667,3.032217308907126,1.9539938200653806,5.6,,,0.34,,,,,0.0,0.28,0.77,0.4,0.34,2.603471295060067,2.54521098459477,3.034134007585343,2.984126984126978,,,,,,0,0,Stagflation
1996-01-01,0.55,0.67,2.7906976744185963,2.955974842767284,1.9738704247173278,5.6,3.0,,0.48,,,,,0.09999999999999964,0.48,0.55,0.4,0.42,2.5316455696202667,2.7443105756358666,3.032217308907126,3.1051964512040398,,,,2.7,,0,0,Reflation
1996-02-01,1.11,0.69,2.717031146454607,2.8858218318695172,1.9540195699372598,5.5,,,0.16,,,,,-0.09999999999999964,0.55,0.28,0.67,0.4,2.7906976744185963,2.603471295060067,2.955974842767284,3.034134007585343,,,3.0,,,0,0,Stagflation
1996-03-01,1.21,0.55,2.8439153439153486,2.814258911819878,2.0736232744544836,5.5,,,0.22,,,,,-0.09999999999999964,1.11,0.48,0.69,0.4,2.717031146454607,2.5316455696202667,2.8858218318695172,3.032217308907126,,,,,,0,0,Stagflation
1996-04-01,1.52,0.63,2.832674571805005,2.6184538653366562,2.1111226257272797,5.6,6.8,,0.12,,,,,0.0,1.21,0.55,0.55,0.67,2.8439153439153486,2.7906976744185963,2.814258911819878,2.955974842767284,,,,3.0,,0,0,Reflation
1996-05-01,1.67,0.58,2.827087442472065,2.675793403858129,2.1300498144890767,5.6,,,0.1,,,,,0.09999999999999964,1.52,1.11,0.63,0.69,2.832674571805005,2.717031146454607,2.6184538653366562,2.8858218318695172,,,6.8,,,0,0,Stagflation
1996-06-01,1.55,0.62,2.8215223097112663,2.669149596523912,2.0290325915205853,5.3,,,0.12,,,,,-0.20000000000000018,1.67,1.21,0.58,0.55,2.827087442472065,2.8439153439153486,2.675793403858129,2.814258911819878,,,,,,0,0,Stagflation
1996-07-01,1.48,0.58,2.8833551769331667,2.664188351920682,2.11645674168901,5.5,3.6,,0.14,,,,,-0.09999999999999964,1.55,1.52,0.62,0.63,2.8215223097112663,2.832674571805005,2.669149596523912,2.6184538653366562,,,,6.8,,0,0,Reflation
1996-08-01,1.67,0.62,2.8122956180510084,2.595797280593315,1.9941720138929808,5.1,,,0.14,,,,,-0.5,1.48,1.67,0.58,0.58,2.8833551769331667,2.827087442472065,2.664188351920682,2.675793403858129,,,3.6,,,0,0,Stagflation
1996-09-01,1.58,0.62,3.0045721750489918,2.6510480887792953,2.211927347599074,5.2,,,0.12,,,,,-0.09999999999999964,1.67,1.55,0.62,0.62,2.8122956180510084,2.8215223097112663,2.595797280593315,2.669149596523912,,,,,,0,0,Stagflation
1996-10-01,1.2,0.6,3.0618892508143203,2.5199754148740094,2.2560912998195626,5.2,4.2,,0.12,,,,,-0.2999999999999998,1.58,1.48,0.62,0.58,3.0045721750489918,2.8833551769331667,2.6510480887792953,2.664188351920682,,,,3.6,,0,0,Reflation
1996-11-01,0.93,0.47,3.2530904359141077,2.5766871165644023,2.44099223987444,5.4,,,0.1,,,,,0.3000000000000007,1.2,1.67,0.6,0.62,3.0618892508143203,2.8122956180510084,2.5199754148740094,2.595797280593315,,,4.2,,,0,0,Stagflation
1996-12-01,1.22,0.55,3.378817413905133,2.636419374616805,2.3631039531478937,5.4,,,0.08,,,,,0.20000000000000018,0.93,1.58,0.47,0.62,3.2530904359141077,3.0045721750489918,2.5766871165644023,2.6510480887792953,,,,,,0,0,Stagflation
1997-01-01,1.38,0.59,3.0381383322559907,2.504581551618834,2.2687430608309356,5.3,2.6,,0.06,,,,,0.09999999999999964,1.22,1.2,0.55,0.6,3.378817413905133,3.0618892508143203,2.636419374616805,2.5199754148740094,,,,4.2,,0,0,Reflation
1997-02-01,1.34,0.47,3.0322580645161246,2.499999999999991,2.320595099183187,5.2,,,0.08,,,,,-0.20000000000000018,1.38,0.93,0.59,0.47,3.0381383322559907,3.2530904359141077,2.504581551618834,2.5766871165644023,,,2.6,,,0,0,Stagflation
1997-03-01,1.57,0.47,2.7652733118971096,2.4330900243308973,2.120203004348009,5.2,,,0.08,,,,,-0.20000000000000018,1.34,1.22,0.47,0.55,3.0322580645161246,3.378817413905133,2.499999999999991,2.636419374616805,,,,,,0,0,Stagflation
1997-04-01,1.44,0.43,2.434336963484962,2.6123936816524918,1.9152421962217003,5.1,6.8,,0.14,,,,,-0.20000000000000018,1.57,1.38,0.47,0.59,2.7652733118971096,3.0381383322559907,2.4330900243308973,2.504581551618834,,,,2.6,,0,0,Goldilocks
